,MS SubClass,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Sale Type,SalePrice
25,20,65.0,8450,NAmes,5,1968,1968,VinylSd,VinylSd,0.0,775.0,0.0,281.0,1056.0,1056,0,0,1056,6,1968.0,304.0,0,85,184,0,0,0,0,7,WD ,142000
26,20,70.0,8400,NAmes,4,1970,1970,Plywood,Plywood,0.0,804.0,78.0,0.0,882.0,882,0,0,882,4,1970.0,525.0,240,0,0,0,0,0,0,4,WD ,126000
27,20,70.0,10500,NAmes,4,1971,1971,HdBoard,HdBoard,0.0,432.0,0.0,432.0,864.0,864,0,0,864,5,,0.0,0,0,0,0,0,0,0,4,ConLI,115000
28,120,26.0,5858,NAmes,7,1999,1999,MetalSd,MetalSd,0.0,1051.0,0.0,354.0,1405.0,1337,0,0,1337,5,1999.0,511.0,203,68,0,0,0,0,0,6,WD ,184000
29,160,21.0,1680,BrDale,6,1971,1971,HdBoard,HdBoard,504.0,156.0,0.0,327.0,483.0,483,504,0,987,5,1971.0,264.0,275,0,0,0,0,0,0,2,COD,96000
30,160,21.0,1680,BrDale,5,1971,1971,HdBoard,HdBoard,492.0,300.0,0.0,225.0,525.0,525,567,0,1092,6,1997.0,320.0,0,0,0,0,0,0,0,3,WD ,105500
31,160,21.0,1680,BrDale,6,1971,1971,HdBoard,ImStucc,381.0,0.0,0.0,525.0,525.0,525,567,0,1092,6,1971.0,264.0,0,0,0,0,0,0,0,3,WD ,88000
32,120,53.0,4043,NPkVill,6,1977,1977,Plywood,Plywood,0.0,360.0,0.0,709.0,1069.0,1069,0,0,1069,4,1977.0,440.0,0,55,0,0,165,0,0,7,WD ,127500
33,160,24.0,2280,NPkVill,6,1975,1975,Plywood,Brk Cmn,0.0,514.0,0.0,341.0,855.0,855,601,0,1456,6,1975.0,440.0,173,0,0,0,0,0,0,6,WD ,149900
34,120,24.0,2280,NPkVill,7,1975,1975,Plywood,Brk Cmn,0.0,0.0,0.0,836.0,836.0,836,0,0,836,4,1975.0,308.0,0,30,0,0,0,0,0,6,WD ,120000
35,160,24.0,2280,NPkVill,6,1978,1978,Plywood,Brk Cmn,0.0,311.0,0.0,544.0,855.0,855,601,0,1456,7,1978.0,440.0,26,0,0,0,0,0,0,7,WD ,146000
36,60,102.0,12858,NridgHt,9,2009,2010,VinylSd,VinylSd,162.0,0.0,0.0,1590.0,1590.0,1627,707,0,2334,10,2009.0,751.0,144,133,0,0,0,0,0,1,New,376162
37,20,98.0,11478,NridgHt,8,2007,2008,VinylSd,VinylSd,200.0,1218.0,0.0,486.0,1704.0,1704,0,0,1704,7,2008.0,772.0,0,50,0,0,0,0,0,5,WD ,306000
38,20,83.0,10159,NridgHt,9,2009,2010,VinylSd,VinylSd,450.0,1646.0,0.0,284.0,1930.0,1940,0,0,1940,8,2010.0,606.0,168,95,0,0,0,0,0,4,New,395192
39,20,94.0,12883,NridgHt,8,2009,2010,VinylSd,VinylSd,256.0,0.0,0.0,1544.0,1544.0,1544,0,0,1544,7,2009.0,868.0,0,35,0,0,0,0,0,6,New,290941
40,20,95.0,12182,NridgHt,7,2005,2005,VinylSd,VinylSd,226.0,1201.0,0.0,340.0,1541.0,1541,0,0,1541,7,2005.0,532.0,0,70,0,0,0,0,0,5,New,220000
41,20,90.0,11520,NridgHt,9,2005,2005,VinylSd,VinylSd,615.0,110.0,0.0,1588.0,1698.0,1698,0,0,1698,7,2005.0,730.0,192,74,0,0,0,0,0,6,WD ,275000
42,20,79.0,14122,NridgHt,8,2005,2006,CemntBd,CmentBd,240.0,28.0,0.0,1794.0,1822.0,1822,0,0,1822,8,2005.0,678.0,0,119,0,0,0,0,0,2,WD ,259000
43,20,70.0,10171,NridgHt,7,2004,2004,VinylSd,VinylSd,168.0,2.0,0.0,1515.0,1517.0,1535,0,0,1535,7,2004.0,532.0,0,0,0,0,0,0,0,3,WD ,214000
44,20,100.0,12919,NridgHt,9,2009,2010,VinylSd,VinylSd,760.0,2188.0,0.0,142.0,2330.0,2364,0,0,2364,11,2009.0,820.0,0,67,0,0,0,0,0,3,New,611657
45,120,44.0,6371,NridgHt,7,2009,2010,VinylSd,VinylSd,128.0,733.0,0.0,625.0,1358.0,1358,0,0,1358,6,2010.0,484.0,192,35,0,0,0,0,0,6,New,224000
46,20,110.0,14300,NridgHt,9,2003,2004,VinylSd,VinylSd,1095.0,1373.0,0.0,1473.0,2846.0,2696,0,0,2696,10,2003.0,958.0,220,150,0,0,0,0,0,6,WD ,500000
47,60,105.0,13650,NridgHt,8,2002,2002,VinylSd,VinylSd,232.0,578.0,0.0,1093.0,1671.0,1687,563,0,2250,7,2002.0,756.0,238,130,0,0,0,0,0,6,WD ,320000
48,120,61.0,7658,NridgHt,9,2005,2005,MetalSd,MetalSd,412.0,456.0,0.0,1296.0,1752.0,1752,0,0,1752,6,2005.0,576.0,196,82,0,0,0,0,0,2,WD ,319900
49,120,41.0,7132,NridgHt,8,2006,2006,VinylSd,VinylSd,178.0,24.0,0.0,1346.0,1370.0,1370,0,0,1370,6,2006.0,484.0,120,49,0,0,0,0,0,4,WD ,205000
50,160,36.0,2628,NridgHt,7,2003,2003,VinylSd,Wd Shng,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,6,2003.0,474.0,0,27,0,0,0,0,0,6,WD ,175500
51,20,100.0,18494,Gilbert,6,2005,2005,VinylSd,VinylSd,0.0,0.0,0.0,1324.0,1324.0,1324,0,0,1324,6,2005.0,430.0,36,23,0,0,0,0,0,1,WD ,199500
52,120,43.0,3203,Blmngtn,7,2006,2006,VinylSd,VinylSd,14.0,16.0,0.0,1129.0,1145.0,1145,0,0,1145,6,2006.0,437.0,100,116,0,0,0,0,0,1,WD ,160000
53,120,43.0,3182,Blmngtn,8,2004,2005,VinylSd,VinylSd,16.0,24.0,0.0,1232.0,1256.0,1269,0,0,1269,6,2004.0,430.0,146,20,0,0,144,0,0,4,WD ,192000
54,80,67.0,13300,Gilbert,7,2004,2004,VinylSd,VinylSd,0.0,326.0,0.0,58.0,384.0,744,630,0,1374,7,2004.0,400.0,100,0,0,0,0,0,0,6,WD ,184500
55,60,,7851,Gilbert,6,2002,2002,VinylSd,VinylSd,,625.0,0.0,235.0,860.0,860,1100,0,1960,8,2002.0,440.0,288,48,0,0,0,0,0,5,WD ,216500
56,60,63.0,8577,Gilbert,7,2004,2004,VinylSd,VinylSd,0.0,0.0,0.0,847.0,847.0,847,886,0,1733,7,2004.0,433.0,144,48,0,0,0,0,0,4,WD ,185088
57,80,,7750,Gilbert,7,2000,2000,VinylSd,VinylSd,0.0,250.0,0.0,134.0,384.0,774,656,0,1430,7,2000.0,400.0,180,0,0,0,0,0,0,4,WD ,180000
58,60,,9505,Gilbert,7,2001,2001,VinylSd,VinylSd,180.0,0.0,0.0,884.0,884.0,884,1151,0,2035,8,2001.0,434.0,144,48,0,0,0,0,0,5,WD ,222500
59,60,108.0,14774,NoRidge,9,1999,1999,VinylSd,VinylSd,165.0,0.0,0.0,1393.0,1393.0,1422,1177,0,2599,10,1999.0,779.0,668,30,0,0,0,0,0,5,WD ,333168
60,60,60.0,17433,NoRidge,8,1998,1998,VinylSd,VinylSd,114.0,0.0,0.0,1629.0,1629.0,1645,830,0,2475,7,1998.0,962.0,23,172,0,0,256,0,0,1,WD ,355000
61,20,59.0,10593,NoRidge,7,1996,1996,VinylSd,VinylSd,338.0,919.0,0.0,801.0,1720.0,1720,0,0,1720,7,1996.0,527.0,240,56,154,0,0,0,0,3,WD ,260400
62,60,98.0,12256,NoRidge,8,1994,1995,HdBoard,HdBoard,362.0,1032.0,0.0,431.0,1463.0,1500,1122,0,2622,9,1994.0,712.0,186,32,0,0,0,0,0,4,WD ,325000
63,60,92.0,11764,NoRidge,8,1999,2007,VinylSd,VinylSd,348.0,524.0,0.0,628.0,1152.0,1164,1106,0,2270,9,1999.0,671.0,132,57,0,0,0,0,0,4,WD ,290000
64,60,58.0,16770,NoRidge,7,1998,1998,VinylSd,VinylSd,30.0,0.0,0.0,1195.0,1195.0,1195,644,0,1839,7,1998.0,486.0,0,81,0,0,0,0,0,6,WD ,221000
65,50,56.0,14720,NoRidge,8,1995,1996,VinylSd,VinylSd,579.0,816.0,0.0,1217.0,2033.0,2053,1185,0,3238,9,1996.0,666.0,283,86,0,0,0,0,0,3,WD ,410000
66,20,73.0,8987,Somerst,8,2005,2006,VinylSd,VinylSd,226.0,0.0,0.0,1595.0,1595.0,1595,0,0,1595,6,2005.0,880.0,144,0,0,0,0,0,0,5,WD ,221500
67,20,92.0,9215,Somerst,7,2009,2010,VinylSd,VinylSd,0.0,0.0,0.0,1218.0,1218.0,1218,0,0,1218,4,2009.0,676.0,0,136,0,0,0,0,0,4,New,204500
68,60,72.0,8640,Somerst,7,2009,2009,VinylSd,VinylSd,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,7,2009.0,614.0,169,45,0,0,0,0,0,6,Con,215200
69,20,75.0,9000,Somerst,8,2008,2008,VinylSd,VinylSd,36.0,1078.0,0.0,488.0,1566.0,1566,0,0,1566,7,2008.0,750.0,144,168,0,0,0,0,0,4,WD ,262500
70,60,100.0,12552,Somerst,7,2004,2005,VinylSd,VinylSd,0.0,222.0,0.0,769.0,991.0,991,956,0,1947,8,2004.0,678.0,0,136,0,0,0,0,0,5,WD ,254900
71,20,84.0,10440,Somerst,6,2005,2005,VinylSd,VinylSd,0.0,1414.0,0.0,54.0,1468.0,1468,0,0,1468,6,2005.0,528.0,0,102,0,0,216,0,0,5,WD ,271500
72,60,76.0,10142,SawyerW,7,2004,2004,VinylSd,VinylSd,0.0,656.0,0.0,300.0,956.0,956,1128,0,2084,8,2004.0,618.0,0,45,0,0,0,0,0,1,WD ,233000
73,60,70.0,11920,SawyerW,7,2004,2004,VinylSd,VinylSd,122.0,0.0,0.0,831.0,831.0,831,828,0,1659,8,2004.0,484.0,144,68,0,0,0,0,0,4,WD ,181000
74,60,,8880,SawyerW,7,1994,2002,VinylSd,VinylSd,0.0,695.0,0.0,253.0,948.0,1222,888,0,2110,8,1994.0,463.0,0,130,0,0,0,0,0,5,WD ,205000
75,120,50.0,8012,SawyerW,6,1980,1980,Plywood,Plywood,0.0,543.0,119.0,261.0,923.0,923,0,0,923,5,1980.0,264.0,80,0,0,0,0,0,0,5,WD ,143000
76,60,70.0,11218,SawyerW,6,1992,1992,Wd Sdng,Wd Sdng,0.0,0.0,0.0,1055.0,1055.0,1055,790,0,1845,8,1992.0,462.0,635,104,0,0,0,0,400,5,WD ,189000
77,120,55.0,7892,SawyerW,6,1979,1979,Plywood,Plywood,0.0,0.0,0.0,918.0,918.0,918,0,0,918,5,1979.0,264.0,28,0,0,0,0,0,0,4,WD ,99500
78,120,50.0,7175,SawyerW,6,1984,1984,Plywood,Plywood,0.0,623.0,121.0,0.0,744.0,752,0,0,752,4,1984.0,264.0,353,0,0,0,90,0,0,2,WD ,125000
79,60,,9453,SawyerW,7,1993,2003,HdBoard,HdBoard,0.0,402.0,0.0,594.0,996.0,1014,730,0,1744,7,1993.0,457.0,370,70,0,238,0,0,0,2,WD ,194500
80,20,81.0,9672,SawyerW,6,1984,1985,HdBoard,Plywood,0.0,338.0,0.0,702.0,1040.0,1097,0,0,1097,6,1986.0,480.0,0,0,0,0,0,0,0,5,WD ,152000
81,60,70.0,8400,SawyerW,6,1980,1981,HdBoard,HdBoard,130.0,0.0,0.0,650.0,650.0,888,676,0,1564,7,1980.0,476.0,0,50,0,0,204,0,0,4,WD ,171000
82,30,70.0,9800,SawyerW,5,1920,1950,Wd Sdng,Wd Sdng,0.0,0.0,0.0,816.0,816.0,1012,0,0,1012,5,1920.0,429.0,121,0,80,0,0,0,0,4,WD ,67500
83,90,68.0,8930,Sawyer,6,1978,1978,VinylSd,VinylSd,0.0,0.0,0.0,0.0,0.0,1318,584,0,1902,8,1978.0,539.0,0,0,0,0,0,0,0,4,WD ,112000
84,85,88.0,11782,Sawyer,5,1961,1995,HdBoard,HdBoard,0.0,899.0,0.0,210.0,1109.0,1155,0,0,1155,6,1987.0,576.0,192,0,0,0,0,0,400,6,WD ,148000
85,20,65.0,8450,Sawyer,5,1965,2009,MetalSd,MetalSd,0.0,553.0,117.0,224.0,894.0,894,0,0,894,5,1973.0,336.0,416,144,0,0,0,0,0,4,WD ,138500
86,20,,9819,Sawyer,5,1967,1967,MetalSd,MetalSd,31.0,450.0,0.0,432.0,882.0,900,0,0,900,5,1970.0,280.0,0,0,0,0,0,0,0,2,WD ,122000
87,20,75.0,7500,Sawyer,5,1963,1963,HdBoard,HdBoard,0.0,824.0,0.0,216.0,1040.0,1040,0,0,1040,5,1963.0,308.0,0,0,220,0,0,0,0,6,WD ,133000
88,20,,6897,Sawyer,5,1962,2010,HdBoard,HdBoard,0.0,659.0,0.0,381.0,1040.0,1040,0,0,1040,6,1962.0,260.0,0,104,0,0,0,0,0,4,WD ,127000
89,20,39.0,15410,Sawyer,6,1974,2002,Plywood,Plywood,250.0,126.0,859.0,223.0,1208.0,1494,0,0,1494,7,1974.0,461.0,296,0,186,0,0,0,0,4,WD ,169000
90,60,107.0,10186,NoRidge,7,1992,1992,HdBoard,HdBoard,0.0,674.0,0.0,76.0,750.0,1061,862,0,1923,8,1992.0,564.0,240,39,0,0,0,0,0,6,WD ,190000
91,60,85.0,13143,NoRidge,8,1993,1993,HdBoard,ImStucc,504.0,250.0,981.0,0.0,1231.0,1251,1098,0,2349,9,1993.0,762.0,32,130,0,0,0,0,0,6,WD ,362500
92,60,88.0,11134,NoRidge,8,1992,1993,HdBoard,HdBoard,180.0,1129.0,0.0,261.0,1390.0,1402,823,0,2225,7,1992.0,713.0,198,30,0,0,0,0,0,6,WD ,285000
93,120,25.0,4835,Somerst,7,2004,2005,MetalSd,MetalSd,0.0,1298.0,0.0,190.0,1488.0,1488,0,0,1488,6,2004.0,506.0,168,50,0,0,0,0,0,3,WD ,260000
94,160,39.0,3515,Somerst,7,2004,2004,VinylSd,VinylSd,0.0,0.0,0.0,840.0,840.0,840,840,0,1680,3,2004.0,588.0,0,111,0,0,0,0,0,1,WD ,190000
95,160,30.0,3215,Somerst,7,2004,2004,MetalSd,MetalSd,120.0,280.0,0.0,320.0,600.0,600,600,0,1200,4,2004.0,480.0,0,172,0,0,0,0,0,4,ConLD,155000
96,160,30.0,3182,Somerst,7,2004,2005,MetalSd,MetalSd,0.0,0.0,0.0,600.0,600.0,600,600,0,1200,4,2004.0,480.0,0,172,0,0,0,0,0,6,WD ,151000
97,160,24.0,2544,Somerst,7,2004,2005,MetalSd,MetalSd,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,4,2004.0,480.0,0,172,0,0,0,0,0,2,WD ,149500
98,160,24.0,2544,Somerst,6,2005,2005,VinylSd,VinylSd,216.0,376.0,0.0,224.0,600.0,600,636,0,1236,4,2005.0,480.0,0,166,0,0,0,0,0,5,WD ,152000
99,20,,4403,Somerst,7,2009,2009,MetalSd,MetalSd,432.0,578.0,0.0,892.0,1470.0,1478,0,0,1478,7,2009.0,484.0,0,144,0,0,0,0,0,6,New,222000
100,160,,2117,Somerst,6,2000,2000,MetalSd,MetalSd,216.0,378.0,0.0,378.0,756.0,769,804,0,1573,5,2000.0,440.0,0,32,0,0,0,0,0,6,WD ,177500
101,160,,2980,Somerst,6,2000,2000,MetalSd,MetalSd,1159.0,466.0,0.0,290.0,756.0,756,756,0,1512,5,2000.0,440.0,0,32,0,0,0,0,0,5,WD ,177000
102,160,24.0,2572,Somerst,7,1999,1999,MetalSd,MetalSd,0.0,604.0,0.0,92.0,696.0,696,720,0,1416,6,1999.0,484.0,0,44,0,0,0,0,0,5,WD ,155000
103,160,,2403,Somerst,7,2003,2003,VinylSd,VinylSd,0.0,244.0,0.0,286.0,530.0,530,550,0,1080,4,2003.0,496.0,0,50,0,0,0,0,0,6,WD ,147110
104,20,57.0,12853,Somerst,8,2010,2010,CemntBd,CmentBd,0.0,1032.0,0.0,610.0,1642.0,1418,0,0,1418,6,2010.0,852.0,160,192,0,224,0,0,0,4,New,267916
105,60,68.0,7379,Somerst,8,2000,2000,VinylSd,VinylSd,0.0,484.0,0.0,491.0,975.0,975,873,0,1848,7,2000.0,592.0,280,184,0,0,0,0,0,4,WD ,254000
106,120,30.0,4420,Greens,8,1980,1980,Wd Sdng,Wd Sdng,0.0,728.0,0.0,0.0,728.0,788,0,0,788,3,1980.0,484.0,133,42,0,0,0,0,0,6,WD ,155000
107,120,40.0,3880,Greens,8,1978,1978,Wd Sdng,Plywood,0.0,1052.0,0.0,174.0,1226.0,1226,0,0,1226,4,1978.0,484.0,223,78,0,0,0,0,0,1,WD ,206000
108,60,,13517,Sawyer,6,1976,2005,HdBoard,Plywood,289.0,533.0,0.0,192.0,725.0,725,754,0,1479,6,1976.0,475.0,0,44,0,0,0,0,0,3,WD ,130500
109,20,80.0,8000,Somerst,7,2002,2002,VinylSd,VinylSd,0.0,833.0,0.0,659.0,1492.0,1492,0,0,1492,6,2002.0,596.0,277,137,0,0,0,0,0,4,WD ,230000
110,20,,10456,NWAmes,6,1967,1967,HdBoard,HdBoard,120.0,506.0,0.0,1323.0,1829.0,1829,0,0,1829,8,1967.0,535.0,0,76,0,0,0,0,0,5,WD ,218500
111,60,80.0,10791,NWAmes,6,1993,1993,MetalSd,MetalSd,0.0,1137.0,0.0,143.0,1280.0,1280,1215,0,2495,9,1993.0,660.0,224,32,0,0,0,0,0,3,WD ,243500
112,20,,10603,NWAmes,6,1977,2001,Plywood,Plywood,28.0,1200.0,0.0,410.0,1610.0,1610,0,0,1610,6,1977.0,480.0,168,68,0,0,0,0,0,2,WD ,205000
113,50,,18837,NWAmes,6,1978,1978,MetalSd,MetalSd,0.0,687.0,46.0,491.0,1224.0,1287,604,0,1891,7,1978.0,678.0,0,69,0,0,0,0,0,4,WD ,212500
114,60,80.0,10421,NWAmes,7,1988,1988,HdBoard,HdBoard,42.0,394.0,0.0,586.0,980.0,980,734,0,1714,7,1988.0,496.0,228,66,156,0,0,0,500,3,WD ,196500
115,20,78.0,9360,NWAmes,6,1972,2006,Plywood,Plywood,0.0,982.0,0.0,179.0,1161.0,1381,0,0,1381,5,1972.0,676.0,0,0,0,0,0,0,0,3,WD ,197500
116,60,80.0,9600,NWAmes,6,1971,1971,MetalSd,MetalSd,0.0,329.0,0.0,386.0,715.0,930,715,0,1645,7,1971.0,441.0,0,78,0,0,0,0,0,6,WD ,171000
117,20,80.0,9600,NAmes,5,1966,1966,VinylSd,VinylSd,172.0,698.0,0.0,534.0,1232.0,1232,0,0,1232,6,1966.0,490.0,0,224,0,0,0,0,0,4,WD ,142250
118,20,,9790,NWAmes,6,1963,1963,HdBoard,HdBoard,451.0,569.0,81.0,678.0,1328.0,1328,0,0,1328,6,1963.0,528.0,0,26,0,0,0,0,0,6,WD ,143000
119,20,77.0,9320,NAmes,4,1959,1959,Plywood,Plywood,0.0,569.0,0.0,381.0,950.0,1225,0,0,1225,6,,0.0,352,0,0,0,0,0,400,1,WD ,128950
120,20,90.0,9900,NAmes,5,1966,1966,HdBoard,HdBoard,0.0,1059.0,0.0,150.0,1209.0,1209,0,0,1209,6,1966.0,504.0,0,0,120,0,0,0,0,4,ConLD,159000
121,20,88.0,9680,NAmes,5,1967,1967,Wd Sdng,Plywood,268.0,1010.0,0.0,500.0,1510.0,1510,0,0,1510,6,1967.0,517.0,0,40,0,0,204,0,0,4,WD ,178900
122,80,,10600,NAmes,6,1964,1964,HdBoard,HdBoard,0.0,0.0,0.0,533.0,533.0,1131,644,0,1775,8,1964.0,480.0,0,172,0,0,0,0,0,5,COD,136300
123,80,,14112,NAmes,5,1964,1964,Wd Sdng,HdBoard,86.0,1014.0,0.0,138.0,1152.0,1152,0,0,1152,6,1964.0,484.0,227,0,0,0,0,0,0,4,WD ,180500
124,85,80.0,8800,NAmes,6,1963,1963,MetalSd,MetalSd,156.0,763.0,0.0,173.0,936.0,1054,0,0,1054,6,1963.0,480.0,120,0,0,0,0,0,0,5,WD ,137500
125,90,98.0,13260,NAmes,5,1962,2001,HdBoard,HdBoard,144.0,1500.0,0.0,228.0,1728.0,1728,0,0,1728,10,,0.0,0,0,0,0,0,0,0,1,Oth,84900
126,20,68.0,9717,NAmes,5,1950,1996,MetalSd,MetalSd,0.0,49.0,1029.0,0.0,1078.0,1078,0,0,1078,5,1950.0,240.0,366,0,112,0,0,0,0,4,WD ,142125
127,50,68.0,9724,NAmes,5,1952,2002,MetalSd,MetalSd,265.0,670.0,0.0,470.0,1140.0,1929,532,0,2461,7,1994.0,400.0,0,0,0,0,0,0,0,3,WD ,197600
128,50,120.0,17360,NAmes,6,1949,1950,MetalSd,MetalSd,340.0,300.0,0.0,482.0,782.0,1019,537,0,1556,6,1949.0,470.0,0,0,150,0,0,0,0,1,WD ,172500
129,20,50.0,7207,BrkSide,5,1958,2008,Wd Sdng,Plywood,0.0,696.0,0.0,162.0,858.0,858,0,0,858,4,,0.0,117,0,0,0,0,0,0,2,WD ,116500
130,30,55.0,5350,BrkSide,3,1940,1966,Wd Sdng,Plywood,0.0,0.0,0.0,728.0,728.0,1306,0,0,1306,6,,0.0,263,0,0,0,0,0,450,5,WD ,76500
131,20,80.0,9920,NAmes,5,1954,1954,HdBoard,HdBoard,110.0,354.0,290.0,412.0,1056.0,1063,0,0,1063,6,1954.0,280.0,0,0,164,0,0,0,0,2,WD ,128000
132,80,80.0,9600,NAmes,6,1955,1972,AsbShng,AsbShng,164.0,674.0,132.0,350.0,1156.0,1520,0,0,1520,7,1955.0,364.0,0,0,189,0,0,0,0,3,WD ,153000
133,20,78.0,7800,NAmes,5,1954,1954,HdBoard,HdBoard,200.0,540.0,0.0,728.0,1268.0,1268,0,0,1268,7,1954.0,244.0,0,98,0,0,0,0,0,3,WD ,132000
